,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma(unshifted),0.448565606868698
0,140.71247,0.00678335,110,0.817053400379127,1.49071276936019,2,2.3,0.800980746746063,
1,140.71247,0.00958173,110,0.887719500177574,1.35581589858954,2,2.3,0.895060420036316,
2,140.71247,0.0135346,110,0.970555670257247,1.38542202369002,2,2.3,0.961216449737549,
3,140.71247,0.0191181,110,0.970987159358503,1.35209433024966,2,2.3,0.984118402004242,
4,140.71247,0.027005,110,0.974975186903301,1.36335190503605,2,2.3,0.971354067325592,
5,140.71247,0.0381456,110,0.885436798998592,1.35208977235486,2,2.3,0.93487274646759,
6,140.71247,0.053882,110,0.894989646620738,1.43149354250742,2,2.3,0.883077383041382,
7,140.71247,0.0761104,110,0.827919848181211,1.41847724618247,2,2.3,0.824419379234314,
8,140.71247,0.107509,110,0.773078067479495,1.51619398751073,2,2.3,0.763988435268402,
9,140.71247,0.15186,110,0.711677093866357,1.58709593153032,2,2.3,0.696017146110535,
10,140.71247,0.214508,110,0.592686762610853,1.68550677853658,2,2.3,0.600729823112488,
11,140.71247,0.303001,110,0.475263116447154,1.95365662931368,2,2.3,0.462367743253708,
12,140.71247,0.428,110,0.303666270290168,2.5400005977408,2,2.3,0.277133494615555,
13,140.71247,0.604567,110,0.10527523887819,6.90062102402926,2,2.3,0.090576894581318,
14,140.71247,0.853973,110,0.009543389870121,22.3607004541932,2,2.3,0.009164803661406,
15,140.71247,0.00958173,130,0.829747831930363,1.37882030955849,2,2.3,0.83197557926178,
16,140.71247,0.0135346,130,0.898775135085144,1.36082715982124,2,2.3,0.910377144813538,
17,140.71247,0.0191181,130,0.901426980068089,1.39754355049348,2,2.3,0.949637532234192,
18,140.71247,0.027005,130,0.979299967944555,1.32920842567713,2,2.3,0.950252771377564,
19,140.71247,0.0381456,130,0.942681069669865,1.3620909855787,2,2.3,0.922793030738831,
20,140.71247,0.053882,130,0.884819718365477,1.40028152968984,2,2.3,0.876313626766205,
21,140.71247,0.0761104,130,0.834143742022157,1.44037843918115,2,2.3,0.820213615894318,
22,140.71247,0.107509,130,0.743534440390035,1.46647274071823,2,2.3,0.760554254055023,
23,140.71247,0.15186,130,0.685361528815785,1.57328893079022,2,2.3,0.692214369773865,
24,140.71247,0.214508,130,0.582793293724313,1.72259577723139,2,2.3,0.596057176589966,
25,140.71247,0.303001,130,0.461086622210489,1.95740304075658,2,2.3,0.456919372081757,
26,140.71247,0.428,130,0.275343765881393,2.77350525013381,2,2.3,0.272131234407425,
27,140.71247,0.604567,130,0.082921349104666,5.27046882090755,2,2.3,0.08804515004158,
28,140.71247,0.853973,130,0.006168208254926,22.3607004541932,2,2.3,0.008676454424858,
29,140.71247,0.0135346,200,0.767854793510853,1.51099298424168,2,2.3,0.765431463718414,
30,140.71247,0.0191181,200,0.891648547901282,1.45095044134109,2,2.3,0.835002601146698,
31,140.71247,0.027005,200,0.873342991703505,1.39346957756018,2,2.3,0.87334394454956,
32,140.71247,0.0381456,200,0.877228119198406,1.37620732372934,2,2.3,0.875611245632172,
33,140.71247,0.053882,200,0.85905314133368,1.41705143090365,2,2.3,0.848627626895904,
34,140.71247,0.0761104,200,0.80136322608152,1.55417467663725,2,2.3,0.803323268890381,
35,140.71247,0.107509,200,0.781169904139771,1.57329068039764,2,2.3,0.748444437980652,
36,140.71247,0.15186,200,0.668940846403852,1.65294860669919,2,2.3,0.680965960025787,
37,140.71247,0.214508,200,0.572035391660261,1.7931647687079,2,2.3,0.583701908588409,
38,140.71247,0.303001,200,0.43759998114632,2.00804089676861,2,2.3,0.443280577659607,
39,140.71247,0.428,200,0.285910967434425,2.7524088843521,2,2.3,0.259910941123962,
40,140.71247,0.604567,200,0.083103133616978,4.82242325425077,2,2.3,0.082082599401474,
41,140.71247,0.853973,200,0.004894596337636,18.2574290316075,2,2.3,0.007600212004036,
42,140.71247,0.027005,400,0.682039146682194,1.67365518775809,2,2.3,0.701888740062714,
43,140.71247,0.0381456,400,0.766600830505427,1.5448710255715,2,2.3,0.749217987060547,
44,140.71247,0.053882,400,0.805946855870505,1.5339232204198,2,2.3,0.767004370689392,
45,140.71247,0.0761104,400,0.794411907092242,1.60955996421957,2,2.3,0.752955377101898,
46,140.71247,0.107509,400,0.739247839184251,1.68311293699815,2,2.3,0.716209709644318,
47,140.71247,0.15186,400,0.679412715588344,1.73552875489343,2,2.3,0.657097399234772,
48,140.71247,0.214508,400,0.534005337027619,1.90693289516369,2,2.3,0.56236344575882,
49,140.71247,0.303001,400,0.411650895927378,2.1926473683505,2,2.3,0.422312349081039,
50,140.71247,0.428,400,0.24103169240538,2.97481752457189,2,2.3,0.242088228464127,
51,140.71247,0.604567,400,0.068902877274951,5.42327263042736,2,2.3,0.073886819183827,
52,140.71247,0.853973,400,0.007025950388098,31.6227766016838,2,2.3,0.006261257454753,
53,140.71247,0.053882,700,0.695574217448011,1.82574347746374,2,2.3,0.673176169395447,
54,140.71247,0.0761104,700,0.712098001131297,1.87646513591487,2,2.3,0.688195586204529,
55,140.71247,0.107509,700,0.68199789346118,1.85375971971678,2,2.3,0.67515242099762,
56,140.71247,0.15186,700,0.686956901194033,1.93166209806676,2,2.3,0.630499064922333,
57,140.71247,0.214508,700,0.554227750978304,2.0244418516444,2,2.3,0.54289835691452,
58,140.71247,0.303001,700,0.418705584598165,2.5318479257632,2,2.3,0.40587642788887,
59,140.71247,0.428,700,0.22662206916912,3.1158823564022,2,2.3,0.229091390967369,
60,140.71247,0.604567,700,0.072298048441048,6.0857775332311,2,2.3,0.068241573870182,
61,140.71247,0.853973,700,0.007362088004821,31.6227766016838,2,2.3,0.005410131067038,
62,140.71247,0.0761104,1000,0.657790158348967,1.95366048936276,2,2.3,0.640724360942841,
63,140.71247,0.107509,1000,0.68474805128519,1.88982407571884,2,2.3,0.641853630542755,
64,140.71247,0.15186,1000,0.602221714707673,1.99601715896329,2,2.3,0.60930073261261,
65,140.71247,0.214508,1000,0.530907777935096,2.00000500054607,2,2.3,0.5289506316185,
66,140.71247,0.303001,1000,0.425574054422515,2.48451756416416,2,2.3,0.395415961742401,
67,140.71247,0.428,1000,0.230674239891573,3.53552809445472,2,2.3,0.221334844827652,
68,140.71247,0.604567,1000,0.063408044466619,7.66963944743476,2,2.3,0.064995020627976,
69,140.71247,0.853973,1000,0.007660602507792,31.6227766016838,2,2.3,0.004939551465213,
70,140.71247,0.107509,1400,0.629270822917545,0.681994759906051,2,2.3,0.608505189418793,
71,140.71247,0.15186,1400,0.600032501305513,0.692045460233089,2,2.3,0.586525440216064,
72,140.71247,0.214508,1400,0.521348428240666,0.732451738390535,2,2.3,0.514496564865112,
73,140.71247,0.303001,1400,0.382138430413891,0.869071461570841,2,2.3,0.385433733463287,
74,140.71247,0.428,1400,0.21827847064272,1.14557423850106,2,2.3,0.21432538330555,
75,140.71247,0.604567,1400,0.059449567312515,2.23049761104015,2,2.3,0.062135439366102,
76,140.71247,0.853973,1400,0.004641199758167,10.540918692736,2,2.3,0.004533005878329,
77,140.71247,0.214508,3000,0.483384668905154,0.938645521759212,2,2.3,0.478986710309982,
78,140.71247,0.303001,3000,0.374401500347967,1.06178914050389,2,2.3,0.362171530723572,
79,140.71247,0.428,3000,0.206099816974555,1.42711729309171,2,2.3,0.199293598532677,
80,140.71247,0.604567,3000,0.056572748570533,2.73179475658587,2,2.3,0.056211315095425,
81,140.71247,0.853973,3000,0.004219816770811,10.540918692736,2,2.3,0.003701756242663,
82,140.71247,0.303001,5000,0.341241559511499,1.11386324180062,2,2.3,0.347008794546127,
83,140.71247,0.428,5000,0.188297366965534,1.24225316005462,2,2.3,0.189764767885208,
84,140.71247,0.604567,5000,0.053142539139386,2.64442764861496,2,2.3,0.052548244595528,
85,140.71247,0.853973,5000,0.003504799141918,15.8113883008419,2,2.3,0.00318729900755,
86,140.71247,0.428,9000,0.186571051826928,2.58198745569923,2,2.3,0.179772764444351,
87,140.71247,0.604567,9000,0.048569577564054,1.6158497576605,2,2.3,0.048624526709318,
88,140.71247,0.853973,9000,0.002864969739456,6.900661545229,2,2.3,0.002637045457959,
