process, etae, W-, W-, W-, W-, W-, W-, W+, W+, W+, W+, W+, W+
W-, -1.27, 1.0, 0.006, 0.009, 0.010, 0.019, 0.007, -0.229, -0.006, -0.021, -0.021, -0.021, -0.001
W-, -0.74, 0, 1, 0.024, 0.023, 0.041, 0.008, -0.013, 0.003, -0.022, -0.050, -0.027, -0.005
W-, -0.27, 0, 0, 1, 0.019, 0.037, 0.005, -0.014, -0.017, -0.041, -0.049, -0.055, -0.003
W-, 0.27, 0, 0, 0, 1, 0.031, 0.001, -0.011, -0.009, -0.029, -0.040, -0.039, -0.009
W-, 0.74, 0, 0, 0, 0, 1, 0.014, -0.017, -0.018, -0.054, -0.075, -0.062, -0.012
W-, 1.27, 0, 0, 0, 0, 0, 1, -0.002, -0.004, -0.008, -0.015, -0.014, -0.238
W+, -1.24, 0, 0, 0, 0, 0, 0, 1, 0.018, 0.035, 0.034, 0.040, 0.021
W+, -0.72, 0, 0, 0, 0, 0, 0, 0, 1, 0.150, 0.146, 0.209, 0.010
W+, -0.24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.190, 0.232, 0.026
W+, 0.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.244, 0.030
W+, 0.72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.029
W+, 1.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1